Date,Timestamp,Adj Close,date,Negative,Nuetral,Positive,sentiment_of_the_period,sentiment_of_the_day
2021-04-05 11:45:00,1617623100000,57604.43,2021-04-05 11:45:00,1.0,0.0,2.0,Positive,Positive
2021-04-05 11:50:00,1617623400000,57595.71,2021-04-05 11:50:00,1.0,1.0,4.0,Positive,Positive
2021-04-05 11:55:00,1617623700000,57744.19,2021-04-05 11:55:00,4.0,2.0,0.0,Negative,Negative
2021-04-05 12:00:00,1617624000000,57854.94,2021-04-05 12:00:00,1.0,10.0,5.0,Nuetral,Nuetral
2021-04-05 12:05:00,1617624300000,57953.82,2021-04-05 12:05:00,5.0,2.0,1.0,Negative,Negative
2021-04-05 12:10:00,1617624600000,58021.65,2021-04-05 12:10:00,0.0,0.0,3.0,Positive,Positive
2021-04-05 12:15:00,1617624900000,57933.93,2021-04-05 12:15:00,1.0,2.0,1.0,Nuetral,Nuetral
2021-04-05 12:20:00,1617625200000,57912.29,2021-04-05 12:20:00,0.0,3.0,3.0,Nuetral,Nuetral
2021-04-05 12:25:00,1617625500000,57879.17,2021-04-05 12:25:00,0.0,2.0,1.0,Nuetral,Nuetral
2021-04-05 12:30:00,1617625800000,57841.21,2021-04-05 12:30:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-05 12:35:00,1617626100000,57946.61,2021-04-05 12:35:00,0.0,0.0,2.0,Positive,Positive
2021-04-05 12:40:00,1617626400000,57936.87,2021-04-05 12:40:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-05 12:45:00,1617626700000,58043.75,2021-04-05 12:45:00,0.0,1.0,0.0,Nuetral,Nuetral
2021-04-05 12:50:00,1617627000000,58047.11,2021-04-05 12:50:00,1.0,2.0,1.0,Nuetral,Nuetral
2021-04-05 12:55:00,1617627300000,57970.8,2021-04-05 12:55:00,0.0,3.0,1.0,Nuetral,Nuetral
2021-04-05 13:00:00,1617627600000,58016.69,2021-04-05 13:00:00,1.0,3.0,1.0,Nuetral,Nuetral
2021-04-05 13:05:00,1617627900000,57895.15,2021-04-05 13:05:00,0.0,3.0,0.0,Nuetral,Nuetral
2021-04-05 13:10:00,1617628200000,58013.32,2021-04-05 13:10:00,1.0,0.0,2.0,Positive,Positive
